Cód. Parceiro;Qty;Prazo Cross Dock
I0060;0;6
I0075;0;6
101900UNICA;0;10
102000UNICA;100;10
102100UNICA;100;10
102180UNICA;100;10
103400UNICA;100;10
105400UNICA;0;10
105500UNICA;100;10
105550UNICA;100;10
105600UNICA;0;10
105650UNICA;21;10
105820UNICA;100;10
105840UNICA;100;10
105880UNICA;100;10
106120UNICA;22;10
106160UNICA;100;2
106200UNICA;100;2
106400UNICA;100;2
120400UNICA;0;10
120500UNICA;0;10
120900UNICA;100;2
120920UNICA;0;10
121100UNICA;0;10
121130UNICA;0;10
121310UNICA;100;10
121650UNICA;0;10
121730UNICA;100;10
122350UNICA;0;10
122400UNICA;0;10
122500UNICA;0;10
122550AMARELO;0;10
122580AMARELO;100;10
124100UNICA;100;10
124150UNICA;100;10
124300UNICA;100;10
124500UNICA;100;10
124700UNICA;100;10
124950UNICA;100;10
125200UNICA;100;10
125250UNICA;100;10
127900UNICA;100;10
128000UNICA;100;10
150640UNICA;100;10
150660UNICA;100;10
151195UNICA;100;10
151200UNICA;100;10
151235UNICA;98;10
151245UNICA;100;10
151280UNICA;100;10
151290UNICA;100;10
151350UNICA;100;10
151900UNICA;100;10
152500UNICA;100;10
152550UNICA;100;10
155100UNICA;100;10
155150UNICA;100;10
155152UNICA;100;10
155300UNICA;100;10
155320UNICA;100;10
155340UNICA;100;10
155360UNICA;100;10
155370UNICA;100;10
155500UNICA;100;10
155520UNICA;100;10
155540UNICA;100;10
155560UNICA;100;10
155570UNICA;0;10
155800UNICA;100;10
155850CAMUFLADO;61;10
159100UNICA;100;10
201550PRETO;68;10
201680PRETO;100;2
201820PRETO;28;2
201900PRETO;93;10
202030UNICA;100;10
202480PRETOECINZA;1;2
205200UNICA;100;10
205250UNICA;100;10
230400CAMUFLADO;100;10
232000UNICA;100;10
250040UNICA;100;10
250060UNICA;100;10
250500UNICA;100;10
250550UNICA;100;10
250600UNICA;100;10
252020UNICA;100;10
252200UNICA;100;2
253000UNICA;100;10
270050UNICA;100;10
270070UNICA;100;10
270100UNICA;0;10
271030UNICA;100;10
271050UNICA;79;10
